id,graduatingYear,overallScore,curriculum,jobSupport,school_id
285324,2022,4.0,4.0,4.0,11035
285285,2022,4.3,4.0,5.0,11035
285277,2022,5.0,5.0,5.0,11035
285231,2022,5.0,5.0,5.0,11035
285201,2022,5.0,5.0,5.0,11035
285130,2022,5.0,5.0,5.0,11035
285102,2022,5.0,5.0,5.0,11035
285092,2022,5.0,5.0,5.0,11035
285087,2022,4.0,4.0,4.0,11035
285077,2022,4.7,4.0,5.0,11035
285059,2022,4.0,4.0,4.0,11035
284968,2022,5.0,5.0,5.0,11035
284947,2021,4.0,4.0,4.0,11035
284932,2022,5.0,5.0,5.0,11035
284906,2022,4.7,4.0,5.0,11035
284896,2021,5.0,5.0,5.0,11035
284887,2022,4.0,4.0,4.0,11035
284844,2022,3.7,3.0,4.0,11035
284749,2022,4.7,4.0,5.0,11035
284748,2022,5.0,5.0,5.0,11035
284709,2021,3.7,4.0,3.0,11035
284697,2021,4.0,4.0,4.0,11035
284682,2022,5.0,5.0,5.0,11035
284656,2020,3.7,5.0,1.0,11035
284655,2021,4.0,4.0,4.0,11035
284636,2021,4.7,5.0,5.0,11035
284633,2021,4.7,4.0,5.0,11035
284573,2020,1.3,1.0,1.0,11035
284544,2021,5.0,5.0,5.0,11035
284466,2021,4.3,4.0,5.0,11035
284462,2021,4.7,5.0,4.0,11035
284417,2021,5.0,5.0,5.0,11035
284380,2021,4.7,4.0,5.0,11035
284367,2021,5.0,5.0,5.0,11035
284355,2021,3.0,4.0,1.0,11035
284304,2021,4.0,5.0,3.0,11035
284256,2021,4.7,5.0,5.0,11035
284245,2021,5.0,5.0,5.0,11035
284235,2021,5.0,5.0,5.0,11035
284233,2021,5.0,5.0,5.0,11035
284197,2021,5.0,5.0,5.0,11035
284172,2021,5.0,5.0,5.0,11035
284160,2021,5.0,5.0,5.0,11035
284146,2021,4.3,4.0,5.0,11035
284141,2021,5.0,5.0,5.0,11035
284131,2021,4.7,5.0,5.0,11035
284079,2021,5.0,5.0,5.0,11035
284027,2021,4.7,4.0,5.0,11035
284008,2021,5.0,5.0,5.0,11035
284006,2021,5.0,5.0,5.0,11035
284004,2021,3.3,3.0,4.0,11035
283987,2021,3.7,3.0,4.0,11035
283984,2021,5.0,5.0,5.0,11035
283974,2021,5.0,5.0,5.0,11035
283968,2021,4.0,4.0,4.0,11035
283895,2021,5.0,5.0,5.0,11035
283893,2021,5.0,5.0,5.0,11035
283889,2021,4.3,4.0,5.0,11035
283867,2021,4.7,5.0,4.0,11035
283853,2021,4.0,4.0,4.0,11035
283830,2021,4.7,5.0,4.0,11035
283827,2021,5.0,5.0,5.0,11035
283825,2021,5.0,5.0,5.0,11035
